Category_full,Category_full_txt
7,MALL ATRIUM
8,RIVERWALK
9,SKYWALKS
180,HORTICULTURAL SPECIALTIES
181,NURSERY PRODUCTS
279,"ANIMAL SPECIALTIES, NOT ELSEWHERE CLASSIFIED"
742,ANIMAL HOSPITALS
752,BOARDING KENNELS
780,LANDSCAPE SERVICES
781,LANDSCAPE PLANNING
782,LAWN AND GARDEN SERVICES
783,ORNAMENTAL SHRUB AND TREE SERVICES
831,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS
851,FORESTRY SERVICES
1442,CONSTRUCTION SAND AND GRAVEL
1500,BUILDING CONSTRUCTN - GENERAL
1521,GENRL CONTRACTRS-SNGL FAMLY
1541,GENRL CONTRACTRS-INDUSTRIAL
1542,"GENERAL CONTRACTORS-NONRESIDENTIAL BUILDINGS, OTHER THAN IND"
1611,HIGHWAY AND STREET CONSTRUCTN
1623,"WATER, SEWER, PIPELINE, AND COMMUNICATIONS AND POWER LINE CO"
1629,HEAVY CONSTRUCTION
1711,"PLUMBG, HEATG, A/C CONTRACTOR"
1721,PAINTING CONTRACTORS
1731,ELECTRICAL CONTRACTORS
1741,MASONRY AND OTHER STONEWORK
1742,"PLASTERING, DRYWALL, ACOUSTICAL, AND INSULATION WORK"
1743,"TERRAZZO, TILE, MARBLE, AND MOSAIC WORK"
1751,CARPENTRY WORK
1761,"ROOFING, SIDING, SHEET MTL WRK"
1771,CONCRETE WORK
1781,WATER WELL DRILLING
1791,STRUCTURAL STEEL ERECTION
1793,GLASS AND GLAZING WORK
1794,EXCAVATING AND FOUNDATION WRK
1795,WRECKING AND DEMOLITION WORK
1799,CONTRACTORS-SPECIAL TRADE
2000,FOOD PRODUCTS
2011,MEAT PACKING PLANTS
2013,SAUSAGES AND PREPARED MEATS
2022,"CHEESE,NATURAL AND PROCESSED"
2023,"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCTS"
2032,CANNED SPECIALTIES
2035,"PICKLED FRUITS AND VEGETABLES, VEGETABLE SAUCES AND SEASONIN"
2037,"FROZEN FRUITS, FRUIT JUICES AND VEGETABLES"
2038,"FROZEN SPECIALTIES, NOT ELSEWHERE CLASSIFIED"
2051,"BREAD,BAKERY PROD."
2064,CANDY AND OTHER CONFECTIONERY PRODUCTS
2066,CHOCOLATE AND COCOA PROD.
2068,SALTED AND ROASTED NUTS AND SEEDS
2077,ANIMAL FATS AND OILS
2080,BEVERAGES
2082,MALT BEVERAGES
2083,MALT
2085,DISTILLED AND BLENDED LIQUORS
2086,SOFT DRINKS-CANNED AND BTTLD
2087,"FLAVORING EXTRACTS AND FLAVORING SYRUPS, NOT ELSEWHERE CLASS"
2091,CANNED AND CURED FISH
2097,MANUFACTURED ICE
2099,FOOD PREPARATIONS
2231,"BROADWOVEN FABRIC MILLS, WOOL"
2241,"NARROW FABRIC AND OTHER SMALLWARES MILLS: COTTON, WOOL, SILK"
2251,"HOSIERY, NOT ELSEWHERE CLASSIFIED"
2252,"WOMEN'S FULL-LENGTH AND KNEE LENGTH HOSIERY, EXCEPT SOCKS"
2253,KNIT OUTERWEAR MILLS
2259,"KNITTING MILLS, NOT ELSEWHERE CLASSIFIED"
2281,YARN SPINNING MILLS
2299,TEXTILE GOODS NOT CLASSIFIED
2300,"APPAREL, FABRIC PRODUCTS"
2335,"WOMENS, MISSES; AND JUNIORS BLOUSES AND SHIRTS"
2394,CANVAS AND RELATED PROD.
2399,FABRICATED TEXTILE PRODUCTS
2400,"LUMBER, WOOD PRODUCTS/NO FURN."
2431,MILLWORK
2434,WOOD KITCHEN CABINETS
2448,"WOOD PALLETS , SKIDS"
2491,WOOD PRESERVING
2499,WOOD PRODUCTS
2511,WOOD HOUSEHOLD FURNITURE
2514,METAL HOUSEHOLD FURNITURE
2531,PUBLIC BUILDING AND RELATED FURNITURE
2542,"METAL STORE UNITS,FIXTURES"
2631,PAPERBOARD MILLS
2650,PAPERBOARD CONTAINERS-BOXES
2652,SETUP PAPERBOARD BOXES
2653,"CORRUGATED,SOLID FIBER BOXES"
2657,FOLDING PAPERBOARD BOXES
2672,"COATED AND LAMINATED PAPER, NOT ELSEWHERE CLASSIFIED"
2675,DIE-CUT PAPER AND PAPERBOARD AND CARDBOARD
2677,ENVELOPES
2679,"CONVERTED PAPER AND PAPERBOARD PRODUCTS, NOT ELSEWHERE CLASS"
2711,"NEWSPAPERS-PUBLISH, PRINTING"
2721,PERIODICALS-PUBLISH AND PRINT
2731,"BOOK PUBLISHING, PRINTING"
2732,BOOK PRINTING
2741,MISC. PUBLISHING
2752,LITHOGRAPHIC-CMMRCL PRNTNG
2753,"COMMERCIAL PRINTING, LITHOGRAPHIC"
2759,COMMERCIAL PRINTING-MISC.
2761,MANIFOLD BUSINESS FORMS
2789,"BOOKBINDING,RELATED WORK"
2791,TYPESETTING
2796,PLATEMAKING AND RELATED SERVICES
2800,CHEMICALS AND ALLIED PRODUCTS
2816,INORGANIC PIGMENTS
2819,INDUSTRIAL INORGANIC CHEMICAL
2833,MEDICINL CHEM -BOTANICAL PROD
2834,PHARMACEUTICAL PREPARATIONS
2841,SOAP AND OTHER DETERGENTS
2842,"POLISHES,SANITATION GOODS"
2844,TOILET PREPERATIONS
2851,PAINTS AND ALLIED PROD.
2861,GUM AND WOOD CHEMICALS
2865,"CYCLIC ORGANIC CRUDES AND INTERMEDIATES, AND ORGANIC DYES AN"
2869,INDUSTRIAL ORGANIC CHEMICALS
2873,NITROGENOUS FERTILIZERS
2891,SEALANTS AND ADHESIVES
2893,PRINTING INK
2899,CHEMICAL PREPERATIONS
2900,PETROLEUM REFNG/RELATED INDUST
2911,PETROLEUM REFINING
2951,ASPHALT PAVING MIXTURES AND BLOCKS
2992,"LUBRICATING OILS,GREASES"
3000,RUBBER & MISC. PLASTIC PROD.
3052,RUBBER AND PLASTICS HOSE AND BELTING
3053,"GASKETS,SEALING,PACKING DEVCS."
3069,FABRICATED RUBBER PRODUCTS
3080,MISC. PLASTIC PRODUCTS
3081,UNSUPPORTED PLASTICS FILM AND SHEET
3082,UNSUPPORTED PLASTICS PROFILE SHAPES
3083,"LAMINATED PLASTICS PLATE, SHEET AND PROFILE SHAPES"
3089,"PLASTIC PRODUCTS, NOT ELSEWHERE CLASSIFIED"
3111,"LEATHER TANNING,FINISHING"
3131,BOOT AND SHOE CUT STOCK AND FINDINGS
3151,LEATHER GLOVES AND MITTENS
3172,"PERSONAL LEATHER GOODS, EXCEPT WOMENS HANDBAGS AND PURSES"
3199,"LEATHER GOODS, NOT ELSEWHERE CLASSIFIED"
3211,FLAT GLASS
3229,"PRESSED AND BLOWN GLASS AND GLASSWARE, NOT ELSEWHERE CLASSIF"
3241,"CEMENT, HYDRAULIC"
3271,"CONCRETE BLOCK,BRICK"
3272,CONCRETE PRODUCTS
3273,READY-MIXED CONCRETE
3281,CUT STONE AND STONE PRODUCTS
3291,ABRASIVE PRODUCTS
3299,NONMETALLIC MINERAL PROD.
3300,"METALS-PRIMARY,FOUNDRIES"
3312,"BLAST FURNACES,STEEL MILLS"
3316,"COLD-ROLLED STEEL SHEET, STRIP, AND BARS"
3321,IRON FOUNDRIES-GRAY
3322,IRON FOUNDRIES-MALLEABLE
3324,STEEL INVESTMENT FOUNDRIES
3325,STEEL FOUNDRIES
3341,SECONDARY SMELTING AND REFING OF NONFERROUS METALS
3356,"NONFERROUS ROLLING,DRAWING"
3357,DRAWING AND INSULATING OF NONFERROUS WIRE
3363,ALUMINUM DIE-CASTINGS
3364,"NONFERROUS DIE-CASTINGS, EXCEPT ALUMINUM"
3365,ALUMINUM FOUNDRIES
3366,"BRASS,BRONZE,COPPER FOUNDRIES"
3398,METAL HEAT TREATING
3400,FABRICATED METAL PRODUCTS
3411,METAL CANS
3423,HAND AND EDGE TOOLS
3429,HARDWARE
3433,HEATING EQUIPMENT
3441,FABRICATED STRUCTURAL METAL
3442,"METAL DOORS, SASH, FRAMES, MOLDING, AND TRIM"
3443,PLATE WORK FABRICATED
3444,SHEET METAL WORK
3446,ARCHITECTURAL METAL WORK
3449,MISCELLANEOUS STRUCTURAL METAL WORK
3451,SCREW MACHINE PROD.
3452,"BOLTS,NUTS,RIVETS,WASHERS"
3462,"IRON,STEEL FORGINGS"
3469,METAL STAMPINGS
3471,PLATING AND POLISHING
3479,"METAL COAT.,ALLIED SERV."
3493,"STEEL SPRINGS,EXCEPT WIRE"
3494,"VALVES,PIPE FITTINGS"
3496,"FABRICATED WIRE PROD.,MISC."
3498,FABRICATED PIPE AND PIPE FITTINGS
3499,FABRICATED METAL PROD.
3519,INTERNAL COMBUSTION ENGINES
3531,CONSTUCTION MACHINERY
3532,"MINING MACHINERY AND EQUIPMENT, EXCEPT OIL AND GAS FIELD MAC"
3534,"ELEVATORS,MOVING STAIRWAYS"
3535,CONVEYORS AND CONVEYING EQUIPMENT
3536,"OVERHEAD TRAVELING CRANES, HOISTS, AND MONORAIL SYSTEMS"
3537,"INDUSTRIAL TRUCKS,TRACTORS"
3541,"MACHINE TOOLS,METAL CUTTING"
3542,"MACHINE TOOLS,METAL FORMING"
3544,"SPCL.,DIES,TOOLS,JIGS,FXTRS."
3545,MACHINE TOOL ACCESSORIES
3546,POWER DRIVEN HANDTOOLS
3548,WELDING APPARATUS
3549,"METALWORKING MACHINERY, NOT ELSEWHERE CLASSIFIED"
3552,TEXTILE MACHINERY
3553,WOODWORKING MACHINERY
3554,PAPER INDUSTRY MACHINERY
3555,PRINTING TRADES MACHINERY
3556,FOOD PRODUCTS MACHINERY
3559,SPECIAL INDUSTRY MACHINERY
3561,PUMPS AND PUMPING EQUIPMENT
3562,BALL AND ROLLER BEARINGS
3563,"AIR,GAS COMPRESSORS"
3564,INDUSTRIAL AND COMMERCIAL FANS AND BLOWERS AND AIR PURIFICAT
3565,PACKAGING MACHINERY
3566,"GEARS,SPEED CHANGERS,DRIVERS"
3567,INDUSTRIAL PROCESS FURNACES AND OVENS
3568,POWER TRANSMISSION EQUIP.
3569,GENERAL INDUSTRIAL MACHINERY
3582,COMMERCIAL LAUNDRY EQUIP.
3585,"REFRIGERATION,HEATING EQUIP."
3586,"DISPENSING,MEASURING PUMPS"
3589,SERVICE INDUSTRY MACHINERY
3592,"CARBURETORS, PISTONS, PISTON RINGS, AND VALVES"
3593,FLUID POWER CYLINDERS AND ACTUATORS
3599,"MACHINERY,EXCEPT ELECTRICAL"
3600,ELECTRICAL EQUIPMENT
3612,TRANSFORMERS
3621,"GENERATORS,MOTORS"
3624,CARBON AND GRAPHITE PRODUCTS
3625,"RELAYS, INDUSTRIAL CONTROLS"
3629,ELECTRICAL INDUSTRIAL APPAR
3641,ELECTRIC LAMP BULBS AND TUBES
3644,NONCURRENT CRRYNG WIRNG DVCS
3645,RESIDENTIAL ELECTRIC LIGHTING FIXTURES
3646,COMMERCL ELEC LIGHTING FIXTRS
3648,"LIGHTING EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
3652,PHONOGRAPH RECORDS AND PRERECORDED AUDIO TAPES AND DISKS
3661,"TELEPHONE,TELEGRPH APPARATS"
3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIONS EQUIPME
3669,"NONFERROUS FOUNDRIES, EXCEPT ALUMINUM AND COPPER"
3672,PRINTED CIRCUIT BOARDS
3674,SEMICONDUCTORS AND RELATED DEVICES
3676,ELECTRONIC RESISTORS
3679,ELECTRONIC COMPONENTS
3691,STORAGE BATTERIES
3694,ELECTRICAL EQUIPMENT FOR INTERNAL COMBUSTION ENGINES
3711,"CAR BODIES,MOTOR VEHICLES"
3713,"BUS,TRUCK BODIES"
3714,"MOTOR VEHICLE PARTS,ACCESSRS"
3715,TRUCK TRAILERS
3721,AIRCRAFTS
3728,AIRCRAFT EQUIPMENT
3751,"MOTORCYCLES,BICYCLES,PARTS"
3812,"SEARCH, DETECTION, NAVIGATIONS, GUDANCE, AERONAUTICAL AND NA"
3822,ENVIRONMENTAL CONTROLS
3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
3824,TOTALIZING FLUID METERS AND COUNTING DEVICES
3829,"MEASURING AND CONTROLLING DEVICES, NOT ELSEWHERE CLASSIFIED"
3841,SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS
3842,"SURGICAL APPLIANCES,SUPPLIES"
3843,DENTAL EQUIPMENT AND SUPPLIES
3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS
3851,OPTHALMIC GOODS
3861,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
3911,"JEWELRY, PRECIOUS METAL"
3931,MUSICAL INSTRUMENTS
3944,"GAMES,TOYS,CHILDRNS VHCLS"
3949,"SPORTING,ATHLETIC GOODS"
3953,MARKING DEVICES
3991,BROOMS AND BRUSHES
3993,"ADVERTISING DISPLAYS,SIGNS"
3999,MANUFACTURING INDUSTRIES
4000,RAILROAD TRANSPORTATION
4010,RAILROADS
4011,"RAILROADS, LINE-HAULING OPER."
4013,"RR SWITCHING, TERMINAL SERVCS"
4111,"LOCAL,SUBURBAN TRANSIT"
4119,LOCAL PASSNGR TRANSP.
4121,TAXICABS
4142,"BUS CHARTER SERVICE, EXCEPT LOCAL"
4151,SCHOOL BUSES
4171,BUS TERMINAL FACILITIES
4173,TERMINAL AND SERVICE FACILITIES FOR MOTOR VEHICLE PASSENGER
4210,TRUCKING & COURIER SERVICE
4212,LOCAL TRUCKING WITHOUT STRGE
4213,"TRUCKING,EXCEPT LOCAL"
4214,LOCAL TRUCKING AND STORAGE
4221,"FARM PROD WARHSNG,STORGE"
4222,REFRIGERATED WARHOUSING
4225,"GENERAL WAREHSNG,STORAGE"
4226,"SPECIAL WAREHOUSING,STORAGE"
4230,"TERMINA, TERMINAL FACILITY"
4231,TRUCKING TERMINAL FACILITIES
4311,U.S.POSTAL SERVICE
4432,FREIGHT TRANSPORTATION ON THE GREAT LAKES-ST. LAWRENCE SEAWA
4449,"WATER TRANSPORTATION OF FREIGHT, NOT ELSEWHERE CLASSIFIED"
4469,BRIDGE TENDERS HOUSE
4482,FERRIES
4493,MARINAS
4499,WATER TRANSPORTATION SERVICE
4500,TRANSPORTATION BY AIR
4581,"AIRPORTS,FLYING FIELDS, ETC."
4700,TRANSPORTATION SERVICES
4720,PASSENGER TRANSP. ARRANGEMENTS
4731,FREIGHT TRANSP. ARRANGMENTS
4783,PACKING AND CRATING
4789,OTHER TRANSPORTATION SERVICES
4811,TELEPHONE COMMUNICATION
4812,RADIO TELEPHONE COMMUNICATIONS
4813,TELEPHONE COMMUNICATIONS
4832,RADIO BROADCASTING
4833,TELEVISION BROADCASTING
4841,CABLE AND OTHER PAY TELEVISION SERVICES
