Category_full,Category_full_txt
4899,"COMMUNICATIONS SERVICES, NOT ELSEWHERE CLASSIFIED"
4910,ELECTRIC SERVICES
4911,ELECTRIC COMPANY
4922,NATURAL GAS TRANSMISSION
4923,"GAS TRANSMISSION,DISTRIBUTN"
4941,WATER SUPPLY
4952,SEWERAGE SYSTEMS
4953,REFUSE SYSTEMS
5000,WHOLESALE TRADE-DURABLE GOODS
5012,"AUTOMOBILES,OTHER MOTR VHCLS"
5013,"AUTOMOTIVE PARTS,SUPPLIES"
5014,"TIRES,TUBES"
5015,"MOTOR VEHICLE PARTS, USED"
5021,FURNITURE
5023,HOME FURNISHINGS
5031,"LUMBER,PLYWOOD,MILLWORK"
5032,"BRICK, STONE, AND RELATED CONSTRUCTION MATERIALS"
5033,"ROOFING, SIDING, AND INSULATION MATERIALS"
5039,CONSTRUCTION MATERIALS
5043,"PHOTOGRAPHIC EQUIP.,SUPPLIES"
5046,OTHER COMMERCIAL EQUIPMENT
5047,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES (WHOLES"
5049,PROFESSIONAL EQUIPMENT SALES
5051,"METALS SERVICE CENTERS,OFFCS"
5052,COAL AND OTHER MINERALS AND ORES
5063,"ELECTRICAL APPARATUS,EQUIP"
5065,"ELECTRONIC PARTS,EQUIPMENT"
5072,HARDWARE
5074,HYDRONIC HTNG SPPLS-PLUMBNG
5075,WARM AIR HEATG/A-C EQUIPMENT
5082,"CONSTRUCTION,MINING MACHINERY"
5083,"FARM MACHINERY,EQUIP"
5084,"INDUSTRIAL MACHINERY,EQUIP"
5085,INDUSTRIAL SUPPLIES
5087,SERVICE ESTBLSHMNT EQUIP
5088,"TRANSPORTATION EQUIPMENT AND SUPPLIES, EXCEPT MOTOR VEHICLES"
5090,MISC. DURABLE GOODS
5091,"SPORTING, RECREATIONAL GOODS"
5092,"TOYS, HOBBY GOODS, SUPPLIES"
5093,"SCRAP,WASTE MATERIALS"
5094,"JEWLERY,WTCHS,PRCS STONES"
5099,DURABLE GOODS
5111,PRINTING AND WRITING PAPER
5112,STATIONERY AND OFFICE SUPPLIES
5113,PAPER-PRSNL SRVC-INDSTRL
5122,"DRUGS,PROPRIETARIES,SUNDRS"
5139,FOOTWEAR
5141,"GROCERIES,GENERAL LINE"
5142,FROZEN FOODS
5143,"DAIRY PRODUCTS, EXCEPT DRIED OR CANNED"
5144,"POULTRY,POULTRY PROD."
5145,CONFECTIONERY
5146,"FISH,SEAFOODS"
5147,"MEATS,MEAT PRODUCTS"
5148,"FRESH FRUITS, VEGETABLES"
5149,"GROCERIES,RELATED PROD."
5162,PLASTICS MATERIALS AND BASIC FORMS AND SHAPES
5169,CHEMICALS & ALLIED PRODUCTS
5170,PETROLEUM/PETROLEUM PRODUCTS
5171,PETROLEUM BULK STATIONS/TERMNL
5172,PETROLEUM PRODUCTS
5181,"BEER,ALE"
5182,"WINES,DISTILLED BEVERGS"
5191,FARM SUPPLIES
5193,FLOWERS & FLORISTS SUPPLIES
5194,"TOBACCO,TOBACCO PRODS."
5198,"PAINTS,VARNISHES,SUPPLS"
5199,NONDURABLE GOODS
5200,"BUILDING MTLRS, GARDEN SUPPLS"
5211,"LUMBER,OTHER BLDG MATRLS"
5231,"GLASS,PAINT,WALLPAPR STRS"
5251,HARDWARE STORES
5261,"GARDEN STORES,RETAIL NRSRS"
5311,DEPARTMENT STORES
5331,VARIETY STORES
5399,GENERAL MERCHNDS STORS-MISC
5411,GROCERY STORES
5421,MEAT & FISH MARKETS
5431,"FRUIT STORE,VEGTBL MRKTS"
5441,"CANDY, NUT STORES"
5451,DAIRY PRODS. STORES
5461,RETAIL BAKERIES
5499,MISCELLANEOUS FOOD STORES
5510,MOTOR VEHICLE DEALR NEW/USED
5511,AUTOMOBILE DEALERS-NEW/USED
5521,AUTOMOBILE DEALERS-USED CAR ONLY
5531,"AUTO,HOME SUPPLY STORES"
5541,GASOLINE SERVICE STATION
5551,BOAT DEALERS
5571,MOTORCYCLE DEALERS
5599,"AUTOMOTIVE DEALERS, NOT ELSEWHERE CLASSIFIED"
5600,"APPAREL,ACCESORY STORES"
5611,"MENS,BOYS CLOTHING,FURNSHNGS"
5621,WOMENS CLOTHING STORES
5632,WOMNS ACCESSRY/SPECIALTY STR
5651,FAMILY CLOTHING STORES
5661,SHOE STORES
5699,"APPAREL,ACCESSORIES-MISC."
5700,"HOME FURNISHING,FURNITURE"
5712,FURNITURE STORES
5713,FLOOR COVERING STORES
5714,"DRAPERY,UPHLSTRY STORES"
5719,HOME FURNSHNG STORES-MISC
5720,HOUSEHOLD APPLIANCE STORES
5722,HOUSEHOLD APPLIANCE STORES
5731,"RADIO, T.V. STORES"
5734,COMPUTER AND COMPUTER SOFTWARE STORES
5735,"RECORD, TAPE STORES"
5736,MUSICAL INSTRUMENT STORES
5812,"RESTAURANTS,EATING PLACES"
5813,"TAVERN,BAR,DRINKING PLACES"
5912,"DRUGSTORE, PHARMACY"
5921,LIQUOR STORE
5932,USED MERCHANDISE STORES -
5941,"BICYCLE SHOPS,SPORTING GOODS"
5942,BOOK STORES
5943,STATIONERY STORES
5944,JEWELERY STORES
5945,"GAME,TOY,HOBBY SHOPS"
5946,CAMERA/PHOTO SUPPLY STORES
5947,"GIFT,NOVELTY,SOUVENIR SHOPS"
5949,"SEWING, NEEDLEWORK, AND PIECE GOODS STORES"
5961,CATALOG/MAIL ORDER HOUSES
5962,MERCHANDISING MACHINE OPRATRS
5963,DIRECT SELLING ESTABLISHMENTS
5983,FUEL OIL DEALERS
5984,LIQUIFIED PETROLEUM GAS DLRS
5989,"FUEL DEALERS, NOT ELSEWHERE CLASSIFIED"
5992,FLORISTS
5993,TOBACCO STORES AND STANDS
5994,NEWSTANDS-NEWS DEALERS
5999,MISC. RETAIL STORES
6000,DEPOSITORY INSTITUTIONS
6010,RESERVE DEPOSITORIES
6011,FEDERAL RESERVE BANKS
6021,NATIONAL COMMERCIAL BANK
6022,STATE COMMERCIAL BANK
6035,FEDERAL SAVINGS INSTITUTIONS
6061,FEDERAL CREDIT UNIONS
6062,STATE CREDIT UNIONS
6099,FUNC. REL. TO DEPOSITRY BANKNG
6141,PERSONAL CREDIT INSTITUTIONS
6159,MISC. BUSINESS CREDIT INSTTNS
6162,MORTGAGE BANKERS AND LOAN CORRESPONDENTS
6211,"SECURITY BROKERS,DEALERS"
6221,"COMMODITY CONTRACTS,BROKERS"
6282,INVESTMENT ADVICE
6311,LIFE INSURANCE
6321,ACCIDENT AND HEALTH INSURANCE
6324,"HOSPITAL,MEDCL SERVICE PLANS"
6331,"FIRE, MARINE, AND CASUALTY INSURANCE"
6361,TITLE INSURANCE
6411,"INSURANCE AGENTS,BRKRS,SERVC"
6512,NONRESIDENTIAL BLDG OPRTRS
6513,OPERATORS OF APARTMENT BUILDINGS
6515,MOBILE HOME SITE OPERATRS
6517,"LESSORS OF REAL PROPERTY, NOT ELSEWHERE CLASSIFIED"
6531,"REAL ESTATE AGENTS,MANAGRS"
6552,"LAND SUBDIVIDERS AND DEVELOPERS, EXCEPT CEMETERIES"
6553,CEMETARIES
7000,"HOTELS, OTHER LODGING PLACES"
7011,"HOTELS,MOTELS,TOURIST CRTS"
7021,"ROOMING,BOARDING HOUSES"
7022,ROOMING HOUSE-LICENSE PENDING
7041,MEMBERSHIP BASIS ORGANIZ HTLS
7211,"LAUNDRIES-POWR,FAMILY,COMMRCL"
7212,"GARMENT PRSSNG,CLNRS AGENTS"
7213,LINEN SUPPLY
7215,"COIN OPRTD LAUNDRS,CLEANNG"
7216,"DRY CLEANNG PLANTS,EXCPT RUG"
7217,"UPHOLSTERY CLEANING,CARPET"
7221,"PORTRAIT,PHOTOGRAPHIC STUDIOS"
7231,BEAUTY SHOPS
7241,BARBER SHOPS
7251,"SHOE REPAIR, SHOE SHINE SHOPS"
7261,"FUNERAL SERVICE,CREMATORIES"
7291,TAX RETURN PREPARATION SERVICES
7299,MISC. PERSONAL SERVICES
7300,BUSINESS SERVICES
7311,ADVERTISING AGENCIES
7312,OUTDOOR ADVERTISING AGENCS
7319,ADVERTISING
7331,DIRECT MAIL ADVRTSNG SERVCS
7334,PHOTOCOPYING AND DUPLICATING SERVICES
7335,COMMERCIAL PHOTOGRAPHY
7336,COMMERCIAL ART AND GRAPHICS DESIGN
7349,BUILDING MAINTANENCE SERVICES
7353,HEAVY CONSTRUCTION EQUIPMENT RENTAL AND LEASING
7359,EQUIPMENT RENTAL & LEASING
7361,EMPLOYMENT AGENCIES
7363,HELP SUPPLY SERVICES
7373,COMPUTER INTEGRATED SYSTEMS DESIGN
7374,COMPUTER PROCESSING AND DATA PREPARATION AND PROCESSING SERV
7376,COMPUTER FACIILITIES MANAGEMENTS SERVICES
7378,COMPUTER MAINTENANCE AND REPAIR
7381,"DETECTIVE, ARMORED CAR SERVCS"
7382,SECURITY SYSTEMS SERVICES
7383,NEWS SYNDICATES
7384,PHOTOFINISHING LABS
7389,BUSINESS SERVICES
7400,OFFICE-GENERAL
7513,"TRUCK RENTAL,LEASING"
7514,PASSENGER CAR RENTAL
7515,PASSENGER CAR LEASING
7519,UTILITY TRAILER RENTAL
7521,AUTO PARKING
7523,PARKING LOT
7525,"PARKING STRUCTURE,GARAGE"
7530,AUTO REPAIR SHOPS
7532,"BODY, TOP REPAIR/PAINT SHOPS"
7533,AUTOMOTIVE EXHAUST SYSTEM REPAIR SHOPS
7534,"TIRE RETREADING,REPAIR SHOP"
7536,AUTOMOTIVE GLASS REPLACEMENT SHOPS
7537,AUTOMOTIVE TRANSMISSION REPAIR SHOPS
7538,GENERAL AUTOMOTIVE REPAIR SHP
7539,AUTOMOTIVE REPAIR SHOPS
7540,"AUTO SERVICES, EXCEPT REPAIR"
7542,CARWASH
7549,AUTOMOTIVE SERVICES
7600,MISCELLANEOUS REPAIR SERVICES
7622,"RADIO,T.V. REPAIR"
7623,REFRIGERATIONS AND AIR-CONDITIONING SERVICE AND REPAIR SHOPS
7629,ELECRICAL REPAIR SHOPS
7631,"WATCH, CLOCK AND JEWELRY REPAIR"
7641,"FURNITURE,REUPHOLSTERY,REPAIR"
7692,WELDING REPAIR
7694,ARMATURE REWINDING SHOPS
7699,REPAIR SERVICES
7711,CITY DRAINAGE
7819,SERVICES ALLIED TO MOTION PICTURE PRODUCTION
7829,SERVICES ALLIED TO MOTION PICTURE DISTRIBUTION
7832,THEATER-MOVIE
7833,DRIVE-IN THEATERS
7841,VIDEO TAPE RENTAL
7911,"DANCE HALLS,STUDIOS,SCHOOLS"
7922,THEATRICAL PRDCRS/MISC THTR SV
7929,"BANDS, ORCHESTRAS, ACTORS, AND OTHER ENTERTAINERS AND ENTERTAINMENT GROUPS"
7933,BOWLING ALLEY
7941,"PRO SPORTS CLUBS, PROMOTERS"
7991,PHYSICAL FITNESS FACILITIES
7992,PUBLIC GOLF COURSES
7993,COIN-OPERATED AMUSEMENT DEVICE
7997,"MEMBERSHIP SPRTS,RCRTN CLUBS"
7999,"RECREATION,AMUSEMENT-OTHER"
8010,MISC. OFFICES OF PHYSICIANS
8011,PHYSICIANS-OFFICES OF
8021,DENTISTS-OFFICES OF
8041,CHIROPRACTORS-OFFICES
8042,OFFICES OF OPTOMETRISTS
8049,HEALTH PRACTTNRS-OFFICES
8050,NURSING HOMES
8051,SKILLED NURSING CARE
8059,NURSING AND PERSONAL CARE FACILITIES
8060,HOSPITALS
8062,"GENERAL MEDICAL,SURGL HOSPTL"
8069,"SPECIALTY HOSPITALS, EXCEPT PSYCHIATRIC"
8072,DENTAL LABORATORIES
8090,MISC. HEALTH SERVICES
8092,KIDNEY DIALYSIS CENTER
8093,SPECIALTY OUTPATIENT FACILITIES
8099,HEALTH AND ALLIED SERVICES
8111,"LAWYERS,LEGAL SERVICES"
8211,"SCHOOLS-ELEMENTARY,SECONDARY"
8221,"COLLEGES,UNIVERSITIES"
8222,"JR. COLLEGES, TECH. INSTITUTES"
8231,LIBRARIES
8244,"BUSINESS,SECRETARIAL SCHOOLS"
8249,VOCATIONAL SCHOOLS
8299,"SCHOOLS,EDUCATIONAL SERVCS"
8322,"INDIVIDUAL, FAMILY SERVICES"
8331,"JOB TRAINING,RELATED SERVCS"
8350,CHILD DAY CARE SERVICES
8351,CHILD DAY CARE CENTER
8360,"RESIDENTIAL CARE, GENERAL"
8361,"RESIDENTIAL CARE, 5 OR MORE"
8362,ADULT FAMILY HOME 3-4 ADULTS
8390,SOCIAL SERVICES-OTHER
8399,SOCIAL SERVICES-OTHER
8412,"MUSEUMS, ART GALLERIES"
8422,"ARBORETA, BOTANCL, ZOOL GARDNS"
8611,BUSINESS ASSOCIATIONS
8621,PROFESSIONAL ORGANIZATIONS
8631,LABOR ORGANIZATIONS
8640,"CIVIC, SOCIAL ASSOCIATIONS"
8641,"CIVIC,SOCIAL ASSOCIATNS"
8661,"CHURCHS,RELIGIOUS ORGS"
8690,MEMBERSHIP ORGANIZATIONS
8699,MEMBERSHIP ORGANIZATIONS
8710,"ARCHITECTURAL,ENGNRNG SERVICES"
8711,ENGINEERING SERVICES
8712,ARCHITECTURAL SERVICES
8721,"ACCOUNTING, AUDITING, AND BOOKKEEPING SERVICES"
8731,COMMERCIAL PHYSICAL AND BIOLOGICAL RESEARCH
8732,"COMMERCIAL ECONOMIC, SOCIOLOGICAL AND EDUCATIONAL RESEARCH"
8733,NONCOMMERCIAL RESEARCH ORGANIZATIONS
8734,TESTING LABORATORIES
8742,MANAGEMENT CONSULTING SERVICES
8743,PUBLIC RELATIONS SERVICES
8748,BUSINESS CONSULTING SERVICES
8771,STATE HIGHWAY
8772,FREEWAY
8810,SINGLE-PRIVATE HOUSEHOLDS
8811,CONDOMINIUMS
8820,TWO FAMILY RESIDENTIAL
8830,"MULTI-FAMILY,RESIDENTIAL"
8850,RESIDENTIAL UNIT UNDER CONST.
8860,PLAYGROUND
8870,PARK
8871,PARKWAY
8880,VACANT LOT
8885,VACANT LOT WITH IMPROVEMENTS
8888,DISCONTINUED RESIDENTIAL UNIT
8890,RESI. UNIT/SKILLED CARE FACIL.
8899,MIXED-RESIDENTIAL/COMMERCIAL
9111,EXECUTIVE GOVERNMENT OFFICES
9121,LEGISLATIVE GOVERNMENT BODIES
9199,GENERAL GOVERNMENT
9221,POLICE PROTECTION
9222,LEGAL COUNSEL
9223,CORRECTIONAL INSTITUTION
9224,FIRE PROTECTION
9225,DPW WARD YARDS
9229,PUBLIC ORDER AND SAFETY
9411,ADMINISTRATION OF EDUCATIONAL PROGRAMS
9431,ADMINISTRATION OF PUBLIC HEALTH PROGRAMS
9441,"ADMINISTRATION OF SOCIAL, HUMAN RESOURCE AND INCOME MAINTENA"
9500,ADMIN OF ENVIRON QLTY/HSG PROG
9511,SOLID WASTE MANAGEMENT
9512,"LAND, MINERAL, WILDLIFE AND FOREST CONSERVATION"
9531,ADMINISTRATION OF HOUSING PROGRAMS
9621,"TRANSPORTATION-REGLTN,ADMIN"
9711,NATIONAL SECURITY
9721,INTERNATIONAL AFFAIRS
9850,NON-RES. STRUCT. UNDER CONST.
9911,COMMERCIAL CONDOS
9960,NON-RES. UNCLASSIFIABLE BLDGS.
9999,COMMERCIAL MIXED USE
